LINEA 1				SIMBOLO			ID
  <IGUAL>			=			14
  <DIGITOS>			10			33
  <SIGNO>			-			-1
  <Identificador>		arr			32
  <LLAVECUADRADAABRE>		[			28
  <DIGITOS>			67			33
  <LLAVECUADRADACIERRA>		]			29
  <Operador binario>		*			-1
  <Identificador>		func1			32
  <LLAVEPARENTESISABRE>		(			24
  <Identificador>		hola			32
  <Operador booleano>		true			23
  <COMILLAD>			"			12
  <Identificador>		hola			32
  <Identificador>		mundo			32
  <COMILLAD>			"			12
  <DIGITOS>			4			33
  <PUNTO>			.			38
  <DIGITOS>			5			33
  <COMILLAS>			'			3
  <LETRA>			a			32
  <COMILLAS>			'			3
  <LLAVEPARENTESISCIERRA>	)			25
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <Identificador>		fl1			32
  <IGUAL>			=			14
  <DIGITOS>			4			33
  <PUNTO>			.			38
  <DIGITOS>			5			33
  <Operador binario>		%			-1
  <Identificador>		miChar			32
  <Operador binario>		^			-1
  <SIGNO>			-			-1
  <CERO>			0			-1
  <PUNTO>			.			38
  <DIGITOS>			005			33
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <Identificador>		miFunc			32
  <LLAVEPARENTESISABRE>		(			24
  <Identificador>		miFunc			32
  <LLAVEPARENTESISABRE>		(			24
  <LLAVEPARENTESISCIERRA>	)			25
  <COMA>			,			35
  <COMILLAS>			'			3
  <LETRA>			a			32
  <COMILLAS>			'			3
  <LLAVEPARENTESISCIERRA>	)			25
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <LOC>			loc			-1
  <SEP>			:			39
  <BOOL>			bool			-1
  <SEP>			:			39
  <Identificador>		bl0			32
  <IGUAL>			=			14
  <DIGITOS>			6			33
  <PUNTO>			.			38
  <DIGITOS>			7			33
  <Operador comparación>		!=			-1
  <DIGITOS>			8			33
  <PUNTO>			.			38
  <DIGITOS>			9			33
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <LOC>			loc			-1
  <SEP>			:			39
  <BOOL>			bool			-1
  <SEP>			:			39
  <Identificador>		bl1			32
  <IGUAL>			=			14
  <Identificador>		in1			32
  <Operador relacional>		>=			-1
  <Identificador>		fl1			32
  <Operador logico>		|			-1
  <Operador logico>		|			-1
  <Operador booleano>		false			23
  <Operador logico>		&			-1
  <Operador logico>		&			-1
  <NOT>			not			-1
  <LLAVEPARENTESISABRE>		(			24
  <Identificador>		func2			32
  <LLAVEPARENTESISABRE>		(			24
  <DIGITOS>			3			33
  <COMA>			,			35
  <Identificador>		in1			32
  <LLAVEPARENTESISCIERRA>	)			25
  <Operador relacional>		>			-1
  <DIGITOS>			56			33
  <LLAVEPARENTESISCIERRA>	)			25
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <RETURN>			return			-1
  <SEP>			:			39
  <Identificador>		bl1			32
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <INICIOFINBLOQUE>		_			-1
  <SALTOLINEA>			salto			2
